batch_size,q_len_per_request,seq_len,num_q_heads,qk_nope_head_dim,kv_lora_rank,page_size,dtype,time_ms,memory_bandwidth_GBps,TFLOPs_per_s
256,1,4096,128,128,512,64,torch.float8_e4m3fn,0.10351040363311767,5738.553605735844,1293.7630312278443
256,2,4096,128,128,512,64,torch.float8_e4m3fn,0.17529280185699464,3491.301374138995,1527.9342009405655
256,3,4096,128,128,512,64,torch.float8_e4m3fn,0.24348158836364747,2587.4646384312027,1650.0377026618044
256,4,4096,128,128,512,64,torch.float8_e4m3fn,0.3144559979438782,2060.701669667787,1703.487094457021
256,1,8192,128,128,512,64,torch.float8_e4m3fn,0.2042623996734619,5727.926441040476,1433.0510412682206
256,2,8192,128,128,512,64,torch.float8_e4m3fn,0.35066879987716676,3387.8120905428027,1669.4866760118623
256,3,8192,128,128,512,64,torch.float8_e4m3fn,0.4775151968002319,2525.574071948393,1839.0102336352986
256,4,8192,128,128,512,64,torch.float8_e4m3fn,0.6179183959960938,1980.8440854506257,1894.8679724748022
512,1,4096,128,128,512,64,torch.float8_e4m3fn,0.18697440028190612,6353.8109934238155,1439.5061431842776
512,2,4096,128,128,512,64,torch.float8_e4m3fn,0.3243775963783264,3773.380201548909,1659.4906727780633
512,3,4096,128,128,512,64,torch.float8_e4m3fn,0.46077442169189453,2734.526789428695,1752.3811120138919
512,4,4096,128,128,512,64,torch.float8_e4m3fn,0.5957824230194092,2175.2907603952244,1807.0408754924392
512,1,8192,128,128,512,64,torch.float8_e4m3fn,0.3625056028366089,6455.072643538427,1620.7074841180022
512,2,8192,128,128,512,64,torch.float8_e4m3fn,0.657375979423523,3614.3699714790328,1787.4566821477533
512,3,8192,128,128,512,64,torch.float8_e4m3fn,0.9326272010803223,2586.2423883905863,1889.8726400155697
512,4,8192,128,128,512,64,torch.float8_e4m3fn,1.213259220123291,2017.7056637173011,1936.982744684345
768,1,4096,128,128,512,64,torch.float8_e4m3fn,0.26363520622253417,6759.340019617167,1582.4310281224543
768,2,4096,128,128,512,64,torch.float8_e4m3fn,0.4968400001525879,3695.354640198321,1679.3516234758702
768,3,4096,128,128,512,64,torch.float8_e4m3fn,0.6996191978454589,2701.4696077815292,1788.9068726962805
768,4,4096,128,128,512,64,torch.float8_e4m3fn,0.9115871906280517,2132.544226143252,1830.5853119527687
768,1,8192,128,128,512,64,torch.float8_e4m3fn,0.5286607980728149,6639.417964780797,1683.4017028011663
768,2,8192,128,128,512,64,torch.float8_e4m3fn,0.9816256046295166,3630.7121403430774,1813.2136804151169
768,3,8192,128,128,512,64,torch.float8_e4m3fn,1.4084832191467285,2568.7206995563756,1895.5465189407198
768,4,8192,128,128,512,64,torch.float8_e4m3fn,1.8169504165649415,2020.968743297985,1959.2135912272245
1024,1,4096,128,128,512,64,torch.float8_e4m3fn,0.3591936111450195,6614.816985262921,1549.4287310564182
1024,2,4096,128,128,512,64,torch.float8_e4m3fn,0.6544095993041992,3740.776422905219,1700.906899017821
1024,3,4096,128,128,512,64,torch.float8_e4m3fn,0.9269999980926513,2718.446607535087,1801.1161885602553
1024,4,4096,128,128,512,64,torch.float8_e4m3fn,1.2101871967315674,2141.8174039523687,1839.5332643514912
1024,1,8192,128,128,512,64,torch.float8_e4m3fn,0.6856383800506591,6825.755582198029,1711.4664705340717
1024,2,8192,128,128,512,64,torch.float8_e4m3fn,1.2844736099243164,3699.569974255833,1827.1252742002878
1024,3,8192,128,128,512,64,torch.float8_e4m3fn,1.8434783935546875,2616.792264485466,1909.6189613136187
1024,4,8192,128,128,512,64,torch.float8_e4m3fn,2.359878349304199,2074.683214685014,1988.995913647814
