routine,median_time,std_time,tflops,tb_per_sec,backend,page_size,s_qo,s_kv,num_qo_heads,num_kv_heads,head_dim_qk,head_dim_vo,head_dim_ckv,head_dim_kpe,causal,q_dtype,kv_dtype,avg_actual_seq_len,random_actual_seq_len,m,n,k,group_size,tile_size,scale_major_mode,mma_sm,use_128x4_sf_layout,use_nvfp4,num_tokens,intermediate_size,num_experts,top_k,n_group,topk_group,routed_scaling_factor,local_expert_offset,local_num_experts,routing_method,use_shuffled_weight,weight_layout,use_routing_bias,use_routing_scales_on_input,weight_dtype,gated_act,cutlass_variant,quantized_input,tp_size,tp_rank,ep_size,ep_rank,num_tokens,hidden_size,num_experts,top_k,ep_size,input_dtype,quant_dtype,max_num_tokens,num_heads,scale,eps,enable_pdl,use_global_scale,is_sf_swizzled_layout,m,k,is_sf_swizzled_layout,alignment,enable_pdl,global_scale,sf_layout,do_shuffle,sf_vec_size,batch_size,hidden_size,input_dtype,out_dtype,refcheck,no_cuda_graph,use_cupti,allow_output_mismatch,random_seed,case_tag,generate_repro_command,repro_command
trtllm_fp8_block_scale_moe,0.089584,0.0005425000399385548,7.8657245936774425,3.933105197356671,trtllm,,,,,,,,,,,,,,,,,,,,,,,,1,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,1,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,0.14340799999999998,0.000697509327695497,9.827109673100525,4.913858306370636,trtllm,,,,,,,,,,,,,,,,,,,,,,,,2,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,2,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,0.214784,0.0007875106665944264,13.12282240762813,5.741640047675805,trtllm,,,,,,,,,,,,,,,,,,,,,,,,4,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,4,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,0.383233,0.0008663097880601886,14.709444583321373,6.435836245834779,trtllm,,,,,,,,,,,,,,,,,,,,,,,,8,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,8,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,0.696674,0.001030239419854538,16.18301982275785,6.827711233661655,trtllm,,,,,,,,,,,,,,,,,,,,,,,,16,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,16,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,1.0472355000000002,0.0008024337625831481,21.531525911793473,6.981589329238742,trtllm,,,,,,,,,,,,,,,,,,,,,,,,32,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,32,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,1.391333,0.0010254638522260008,32.412913808556254,7.028019362726249,trtllm,,,,,,,,,,,,,,,,,,,,,,,,64,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,64,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,1.592867,0.0012243992182109306,56.62388210440671,6.969140338772792,trtllm,,,,,,,,,,,,,,,,,,,,,,,,128,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,128,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,1.799828,0.0027007846678738065,100.22548067482003,6.267187593481155,trtllm,,,,,,,,,,,,,,,,,,,,,,,,256,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,256,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
trtllm_fp8_block_scale_moe,2.364485,0.0020819207093451136,152.5817473420216,4.772891463468788,trtllm,,,,,,,,,,,,,,,,,,,,,,,,512,4096,128,4,None,None,2.5,0,128,renormalize,True,0,False,False,torch.bfloat16,,,,,,,,512,7168,128,4,,torch.bfloat16,,,,,,,,,,,,,,,,,,,7168,torch.bfloat16,,False,False,True,False,42,None,False,
